axis,episode_idx,file,magnitude_deg,arrival_latency_s,settling_time_s,target_hold_after_s,initial_target_deg,final_target_deg,target_update_count,target_largest_step_fraction,description
pitch,2150,outliers/01_pitch_episode_2150.svg,32.730000000000004,0.00031974400008039083,nan,0.027362303999325377,-1.7300000000000004,31.000000000000004,1,1.0,"Pitch episode 2150: -1.73 deg to 31.00 deg (32.73 deg), arrival 0.3 ms, settling not observed, target held 27.4 ms after the final target update."
pitch,2613,outliers/02_pitch_episode_2613.svg,9.858040059878377,0.00038732800021534786,nan,0.03224448000037228,7.559999999999999,-2.2980400598783772,1,1.0,"Pitch episode 2613: 7.56 deg to -2.30 deg (9.86 deg), arrival 0.4 ms, settling not observed, target held 32.2 ms after the final target update."
pitch,2521,outliers/03_pitch_episode_2521.svg,8.79718260191906,0.0005340160005289363,nan,0.033735680000972934,6.84,-1.95718260191906,1,1.0,"Pitch episode 2521: 6.84 deg to -1.96 deg (8.80 deg), arrival 0.5 ms, settling not observed, target held 33.7 ms after the final target update."
pitch,2197,outliers/04_pitch_episode_2197.svg,13.690000000000005,0.0007362559990724549,nan,0.025314815999081475,17.31,31.000000000000004,1,1.0,"Pitch episode 2197: 17.31 deg to 31.00 deg (13.69 deg), arrival 0.7 ms, settling not observed, target held 25.3 ms after the final target update."
pitch,2146,outliers/05_pitch_episode_2146.svg,32.43000000000001,0.0008143360009853495,nan,0.030433023999648867,-1.4299999999999997,31.000000000000004,1,1.0,"Pitch episode 2146: -1.43 deg to 31.00 deg (32.43 deg), arrival 0.8 ms, settling not observed, target held 30.4 ms after the final target update."
pitch,2305,outliers/06_pitch_episode_2305.svg,26.130000000000003,0.0008834559994284064,nan,0.024334591998922406,4.869999999999999,31.000000000000004,1,1.0,"Pitch episode 2305: 4.87 deg to 31.00 deg (26.13 deg), arrival 0.9 ms, settling not observed, target held 24.3 ms after the final target update."
yaw,2580,outliers/07_yaw_episode_2580.svg,16.53954197180127,0.0006440960005420493,nan,0.036758272000952275,36.95,53.48954197180127,1,1.0,"Yaw episode 2580: 36.95 deg to 53.49 deg (16.54 deg), arrival 0.6 ms, settling not observed, target held 36.8 ms after the final target update."
yaw,2085,outliers/08_yaw_episode_2085.svg,20.97,0.0006922239990672097,nan,0.04528895999828819,36.03,57.0,1,1.0,"Yaw episode 2085: 36.03 deg to 57.00 deg (20.97 deg), arrival 0.7 ms, settling not observed, target held 45.3 ms after the final target update."
yaw,2426,outliers/09_yaw_episode_2426.svg,39.79040365937382,0.0007807999991200631,nan,0.03098879999924975,57.0,17.20959634062618,1,1.0,"Yaw episode 2426: 57.00 deg to 17.21 deg (39.79 deg), arrival 0.8 ms, settling not observed, target held 31.0 ms after the final target update."
yaw,2420,outliers/10_yaw_episode_2420.svg,31.11559411060131,0.0009587200001988094,nan,0.030238719999033492,47.94,16.824405889398687,1,1.0,"Yaw episode 2420: 47.94 deg to 16.82 deg (31.12 deg), arrival 1.0 ms, settling not observed, target held 30.2 ms after the final target update."
yaw,2091,outliers/11_yaw_episode_2091.svg,19.049999999999997,0.0010782720000861445,nan,0.030696703999637975,37.95,57.0,1,1.0,"Yaw episode 2091: 37.95 deg to 57.00 deg (19.05 deg), arrival 1.1 ms, settling not observed, target held 30.7 ms after the final target update."
yaw,2079,outliers/12_yaw_episode_2079.svg,21.58,0.0013706240006285952,nan,0.04832512000029965,35.42,57.0,1,1.0,"Yaw episode 2079: 35.42 deg to 57.00 deg (21.58 deg), arrival 1.4 ms, settling not observed, target held 48.3 ms after the final target update."
